id,day_of_week,age_band_of_driver,sex_of_driver,educational_level,vehicle_driver_relation,driving_experience,type_of_vehicle,owner_of_vehicle,area_accident_occured,lanes_or_medians,road_alignment,types_of_junction,road_surface_conditions,light_conditions,weather_conditions,type_of_collision,number_of_vehicles_involved,number_of_casualties,vehicle_movement,age_band_of_casualty,casualty_severity,cause_of_accident,accident_severity,hour
9674,Monday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with animals,2,1,Turnover,31-50,3,Driving under the influence of drugs,Slight Injury,18
9675,Thursday,31-50,Male,Junior high school,Owner,Below 1yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,1,4,Going straight,18-30,3,No priority to vehicle,Slight Injury,11
9676,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,NaN,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,1,4,Going straight,na,na,No priority to vehicle,Slight Injury,11
9677,Thursday,31-50,Male,Elementary school,Employee,2-5yr,Other,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,1,4,Getting off,18-30,3,Changing lane to the left,Slight Injury,11
9678,Thursday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,1,4,Moving Backward,31-50,3,Changing lane to the right,Slight Injury,11
9679,Tuesday,Over 51,Male,Elementary school,Employee,2-5yr,Automobile,NaN,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,1,1,Getting off,5,3,Changing lane to the right,Serious Injury,15
9680,Wednesday,Over 51,Male,Junior high school,Owner,2-5yr,Lorry (11?40Q),Owner,Other,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,1,1,Overtaking,18-30,3,Changing lane to the left,Slight Injury,15
9681,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Bajaj,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Other,2,1,Going straight,na,na,Changing lane to the left,Slight Injury,20
9682,Sunday,Under 18,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,31-50,3,Getting off the vehicle improperly,Slight Injury,20
9683,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,Collision with animals,2,1,Going straight,5,3,Overtaking,Serious Injury,18
9684,Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,Rollover,2,1,Reversing,5,3,Changing lane to the left,Serious Injury,18
9685,Sunday,Over 51,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,Collision with animals,1,2,Getting off,na,na,Driving under the influence of drugs,Slight Injury,15
9686,Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,Collision with animals,1,2,Going straight,18-30,3,Driving carelessly,Slight Injury,15
9687,Wednesday,Over 51,Male,Junior high school,Employee,5-10yr,NaN,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,Moving Backward,Slight Injury,23
9688,Wednesday,Over 51,Male,Elementary school,Owner,2-5yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Fall from vehicles,2,3,Going straight,Under 18,3,No distancing,Slight Injury,23
9689,Wednesday,31-50,Male,Elementary school,Employee,Below 1yr,Public (13?45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,3,Reversing,na,na,No priority to vehicle,Slight Injury,23
9690,Monday,18-30,Male,NaN,NaN,NaN,Public (12 seats),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,18-30,3,Overturning,Serious Injury,7
9691,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Rollover,2,1,Stopping,na,na,Changing lane to the left,Serious Injury,7
9692,Sunday,31-50,Male,High school,Employee,1-2yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,2,1,Overtaking,Under 18,3,No distancing,Fatal injury,15
9693,Sunday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Other,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,18-30,3,Moving Backward,Fatal injury,15
9694,Monday,18-30,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Fall from vehicles,2,1,Reversing,Under 18,2,No priority to vehicle,Slight Injury,15
9695,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,31-50,3,No priority to vehicle,Slight Injury,15
9696,Sunday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Other,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,na,na,No distancing,Slight Injury,9
9697,Sunday,Over 51,Male,Elementary school,Employee,2-5yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with animals,2,1,Reversing,Over 51,3,No distancing,Slight Injury,9
9698,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,3,1,Going straight,na,na,Overtaking,Slight Injury,17
9699,Thursday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Waiting to go,18-30,3,Driving under the influence of drugs,Slight Injury,17
9700,Thursday,31-50,Male,Junior high school,Owner,1-2yr,Automobile,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,Changing lane to the right,Slight Injury,17
9701,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,18-30,3,Changing lane to the left,Slight Injury,20
9702,Sunday,Over 51,Male,Unknown,Other,NaN,Lorry (41?100Q),Owner,Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Over 51,3,Driving carelessly,Slight Injury,20
9703,Thursday,18-30,Male,High school,Employee,2-5yr,NaN,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,31-50,3,Moving Backward,Slight Injury,21
9704,Thursday,31-50,Male,Junior high school,Employee,1-2yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Getting off,Under 18,3,Moving Backward,Slight Injury,21
9705,Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,other,Steep grade downward with mountainous terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Changing lane to the right,Slight Injury,19
9706,Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,School areas,other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No priority to vehicle,Slight Injury,19
9707,Monday,18-30,Male,Junior high school,Employee,No Licence,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Rollover,2,1,Going straight,31-50,3,Driving at high speed,Slight Injury,16
9708,Monday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Other,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,Driving under the influence of drugs,Slight Injury,16
9709,Monday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,Changing lane to the right,Slight Injury,15
9710,Thursday,Under 18,Male,Junior high school,Employee,5-10yr,Other,Organization,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,18-30,3,Driving carelessly,Serious Injury,23
9711,Thursday,Under 18,Male,High school,Employee,2-5yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Collision with pedestrians,1,4,Going straight,na,na,No distancing,Serious Injury,23
9712,Thursday,Under 18,Male,High school,Owner,2-5yr,Stationwagen,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,18-30,3,Changing lane to the left,Serious Injury,23
9713,Thursday,Under 18,Male,Junior high school,Employee,Below 1yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - no lighting,Normal,Collision with roadside objects,1,4,Going straight,31-50,2,No distancing,Serious Injury,23
9714,Monday,Over 51,Male,Junior high school,Owner,Above 10yr,Pick up upto 10Q,Owner,Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Getting off,na,na,No distancing,Slight Injury,20
9715,Monday,31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights unlit,Normal,Rollover,3,1,Going straight,na,na,Getting off the vehicle improperly,Slight Injury,20
9716,Monday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,18-30,3,Overtaking,Slight Injury,20
9717,Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Driving carelessly,Slight Injury,17
9718,Friday,31-50,Male,Unknown,Employee,Above 10yr,NaN,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving under the influence of drugs,Slight Injury,17
9719,Monday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,NaN,Church areas,NaN,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,31-50,3,Moving Backward,Slight Injury,18
9720,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Office areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Under 18,3,Overturning,Slight Injury,17
9721,Saturday,Unknown,Female,Elementary school,Employee,Below 1yr,Turbo,Owner,Residential areas,other,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,na,na,Driving under the influence of drugs,Slight Injury,1
9722,Saturday,18-30,Male,Junior high school,Employee,Below 1yr,NaN,Owner,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,Changing lane to the right,Slight Injury,1
9723,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Stationwagen,Governmental,Other,other,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,18-30,3,Changing lane to the left,Slight Injury,1
9724,Saturday,18-30,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,na,na,No distancing,Slight Injury,1
9725,Wednesday,31-50,Male,High school,Owner,5-10yr,Automobile,Owner,Other,One way,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Reversing,31-50,3,No distancing,Slight Injury,18
9726,Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,31-50,3,No priority to vehicle,Slight Injury,18
9727,Friday,18-30,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Turnover,na,na,Moving Backward,Slight Injury,15
9728,Friday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,Moving Backward,Slight Injury,15
9729,Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Under 18,3,Getting off the vehicle improperly,Slight Injury,15
9730,Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Organization,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,31-50,3,Changing lane to the left,Serious Injury,12
9731,Monday,Under 18,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Organization,Other,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Over 51,3,Changing lane to the left,Slight Injury,8
9732,Monday,Over 51,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,No priority to vehicle,Slight Injury,8
9733,Saturday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Changing lane to the right,Slight Injury,17
9734,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Industrial areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Turnover,18-30,3,Changing lane to the right,Slight Injury,0
9735,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,5,3,Driving carelessly,Slight Injury,0
9736,Sunday,18-30,Male,Junior high school,Employee,NaN,Automobile,Owner,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,18-30,3,Changing lane to the left,Slight Injury,0
9737,Wednesday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,31-50,3,Changing lane to the right,Slight Injury,15
9738,Saturday,Under 18,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Church areas,One way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Under 18,2,Driving under the influence of drugs,Slight Injury,18
9739,Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Going straight,31-50,3,Driving carelessly,Slight Injury,18
9740,Friday,31-50,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Other,other,Steep grade downward with mountainous terrain,No junction,Wet or damp,Darkness - no lighting,Normal,Collision with roadside objects,1,1,Getting off,na,na,No distancing,Serious Injury,5
9741,Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Public (13?45 seats),Owner,Other,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,1,1,Moving Backward,18-30,3,No priority to vehicle,Slight Injury,12
9742,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,No priority to vehicle,Slight Injury,22
9743,Friday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (11?40Q),Owner,Other,One way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,Rollover,2,1,Turnover,Over 51,3,No priority to vehicle,Serious Injury,6
9744,Friday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Church areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,18-30,3,Changing lane to the left,Serious Injury,6
9745,Thursday,Under 18,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,NaN,na,na,Moving Backward,Serious Injury,17
9746,Thursday,Under 18,Male,Elementary school,Employee,5-10yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,Over 51,3,Driving carelessly,Serious Injury,17
9747,Friday,18-30,Male,Junior high school,Owner,Below 1yr,Pick up upto 10Q,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Going straight,na,na,Driving under the influence of drugs,Slight Injury,4
9748,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (11?40Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Going straight,31-50,2,Changing lane to the right,Slight Injury,4
9749,Friday,18-30,Male,Writing & reading,Employee,Below 1yr,Motorcycle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Going straight,31-50,3,No priority to vehicle,Slight Injury,4
9750,Friday,18-30,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,4,Turnover,na,na,Changing lane to the right,Slight Injury,4
9751,Saturday,18-30,Male,Elementary school,Owner,5-10yr,Lorry (11?40Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,Driving to the left,Slight Injury,15
9752,Friday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,Collision with roadside objects,1,1,Going straight,31-50,3,Moving Backward,Slight Injury,8
9753,Sunday,18-30,Male,Junior high school,Owner,Below 1yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Getting off,18-30,3,No priority to vehicle,Slight Injury,0
9754,Sunday,31-50,Male,Writing & reading,Employee,5-10yr,Automobile,Owner,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Getting off,18-30,3,No distancing,Slight Injury,0
9755,Sunday,31-50,Male,Writing & reading,Employee,5-10yr,Other,Owner,Church areas,Double carriageway (median),Tangent road with mild grade and flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Driving carelessly,Slight Injury,0
9756,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,2,1,Overtaking,18-30,3,Changing lane to the left,Slight Injury,0
9757,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining and Windy,Collision with pedestrians,2,1,Reversing,31-50,3,No priority to vehicle,Slight Injury,0
9758,Saturday,Unknown,Female,Junior high school,Employee,Above 10yr,Taxi,NaN,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Going straight,na,na,No priority to vehicle,Slight Injury,15
9759,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Getting off,Over 51,3,No distancing,Slight Injury,15
9760,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Taxi,Governmental,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,2,Getting off,na,na,Driving to the left,Slight Injury,15
9761,Saturday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Reversing,Over 51,3,Driving carelessly,Slight Injury,16
9762,Saturday,Under 18,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Office areas,other,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Turnover,31-50,3,Driving carelessly,Slight Injury,16
9763,Friday,Under 18,Male,Junior high school,Employee,Below 1yr,Other,Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Moving Backward,18-30,3,Changing lane to the right,Slight Injury,1
9764,Friday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,18-30,3,Driving carelessly,Slight Injury,1
9765,Monday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,18-30,3,Changing lane to the left,Slight Injury,19
9766,Monday,31-50,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,Driving carelessly,Slight Injury,19
9767,Monday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3,Going straight,Over 51,3,Driving carelessly,Slight Injury,19
9768,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Steep grade downward with mountainous terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,Driving under the influence of drugs,Slight Injury,19
9769,Tuesday,18-30,Male,High school,Employee,Above 10yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,2,Driving carelessly,Slight Injury,19
9770,Saturday,Over 51,Male,High school,Employee,Above 10yr,Pick up upto 10Q,Organization,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,31-50,3,No distancing,Slight Injury,17
9771,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Governmental,Other,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving carelessly,Slight Injury,17
9772,Sunday,31-50,Male,Elementary school,Employee,1-2yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Driving to the left,Slight Injury,21
9773,Sunday,31-50,Male,Elementary school,Employee,5-10yr,Long lorry,Owner,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Rollover,2,1,Getting off,Under 18,3,Overtaking,Slight Injury,21
9774,Monday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,No distancing,Slight Injury,14
9775,Monday,Over 51,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Driving carelessly,Slight Injury,14
